=== 뽑기 개수 미파악 (prizes는 있으나 count 없음) — 재스크랩 대상 (1367건) ===
slug,title,출시연월,prize_count,등급수,count있음,count없음,등급목록,url
"db_ex10","Ichibankuji Dragon Ball EX Goku Training Edition","2025-02","11","11","0","11","          ","https://1kuji.com/products/db_ex10"
"sushi_riku","一番くじ すしらーめん《りく》 激しく！楽しく！すしりく！","2025-01","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/sushi_riku"
"disney_ps11","一番くじ 〈ディズニープリンセス〉 Dreaming Flowers","2024-12","13","12","10","2","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞 J賞 K賞 L賞","https://1kuji.com/products/disney_ps11"
"hololive-ck","一番くじ ホロライブ ちょこのっこコレクション","2024-12","34","33","0","33","                                ","https://1kuji.com/products/hololive-ck"
"onep_o6","Ichibankuji ONE PIECE Memory of Heroines","2024-11","10","10","0","10","         ","https://1kuji.com/products/onep_o6"
"onep_o7","一番くじ A NETFLIX Series：ONE PIECE","2024-11","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/onep_o7"
"myhero39","Ichibankuji MY HERO ACADEMIA YOU'RE NEXT","2024-11","9","8","0","8","  C賞 D賞 E賞   H賞","https://1kuji.com/products/myhero39"
"yugioh4","이치 반 쿠지 Yu-Gi-Oh! Series vol.4三幻神顕現","2024-10","9","9","0","9","        ","https://1kuji.com/products/yugioh4"
"myhero38","Ichibankuji MY HERO ACADEMIA Cultural Festival!!","2024-10","27","27","0","27","                          ","https://1kuji.com/products/myhero38"
"myhero33_2","Ichibankuji MY HERO ACADEMIA Streaming! Culture Festival!","2024-10","10","10","0","10","         ","https://1kuji.com/products/myhero33_2"
"myhero37","Ichibankuji MY HERO ACADEMIA-Continuous Stars-","2024-10","9","9","0","9","        ","https://1kuji.com/products/myhero37"
"onep90","Ichibankuji ONE PIECE TV Anime 25th Anniversary ~The Road to Pirate King~","2024-10","9","9","0","9","        ","https://1kuji.com/products/onep90"
"db_fa","Ichibankuji Dragon Ball Fantastic Adventure","2024-10","9","9","0","9","        ","https://1kuji.com/products/db_fa"
"hololive5","一番くじ ホロライブ vol.5","2024-09","14","13","0","13","            ","https://1kuji.com/products/hololive5"
"disney","一番くじ Disney Dreaming Celebration","2024-09","9","8","7","1"," A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/disney"
"db_z6","Ichibankuji Dragon Ball DRAGONBALL SNAP COLLECTION","2024-09","10","10","1","9","      G賞   ","https://1kuji.com/products/db_z6"
"the_fable","一番くじ ザ・ファブル","2024-09","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/the_fable"
"sandland2","一番くじ SAND LAND: THE SERIES","2024-08","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/sandland2"
"onep_o5","一番くじ ワンピース 造形王 シャンドラの戦士～カルガラ～","2024-08","2","2","0","2","A賞 B賞","https://1kuji.com/products/onep_o5"
"txt_shinchan_01","一番くじ TOMORROW X TOGETHER ｜ クレヨンしんちゃん","2024-08","9","8","0","8","       ","https://1kuji.com/products/txt_shinchan_01"
"zootopia","一番くじ 『ズートピア』","2024-07","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/zootopia"
"myhero36","이치 반 쿠지 내 영웅 아카데미아 Let you down","2024-07","8","8","0","8","       ","https://1kuji.com/products/myhero36"
"ultra18","一番くじ ULTRAMAN: RISING","2024-07","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/ultra18"
"shinycolors2","一番くじ アイドルマスター シャイニーカラーズ Lolita Fashion Collection","2024-07","32","32","0","32","                               ","https://1kuji.com/products/shinycolors2"
"kimetsu23","Ichibankuji DEMON SLAYER: KIMETSU NO YAIBA: Kimetsu no Yaiba - Bonds of Fate 2","2024-07","8","8","0","8","       ","https://1kuji.com/products/kimetsu23"
"bluearchive_2","一番くじ ブルーアーカイブ","2024-07","11","10","0","10","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞 J賞","https://1kuji.com/products/bluearchive_2"
"stpr","一番くじ 劇場版すとぷり はじまりの物語～Strawberry School Festival!!!～","2024-07","10","9","0","9","        ","https://1kuji.com/products/stpr"
"db_ex09","Ichibankuji Dragon Ball EX Temple Above the Clouds","2024-07","9","9","0","9","        ","https://1kuji.com/products/db_ex09"
"crazyraccoon","一番くじ CRAZY RACCOON","2024-07","8","7","0","7","      ","https://1kuji.com/products/crazyraccoon"
"tamagotchireiwa1-2","一番くじ たまごっち～祝！こらぼれーしょん～","2024-06","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/tamagotchireiwa1-2"
"kimetsu22","이치 반 쿠지 DEMON SLAYER: KIMETSU NO YAIBA 기둥 연습 ~","2024-05","7","7","0","7","      ","https://1kuji.com/products/kimetsu22"
"onep86","이치 반 쿠지 쿠지 원피스 EX 사혼 노 계보","2024-05","9","9","0","9","        ","https://1kuji.com/products/onep86"
"db_vso8","Ichibankuji Dragon Ball VS Omnibus Amazing","2024-05","10","10","0","10","         ","https://1kuji.com/products/db_vso8"
"myhero35","Ichibankuji MY HERO ACADEMIA The Shape of Justice","2024-05","8","8","0","8","       ","https://1kuji.com/products/myhero35"
"db_z5","이치 반 쿠지 쿠지 드래곤 볼 미래에 대한 결투!","2024-04","10","10","0","10","         ","https://1kuji.com/products/db_z5"
"monsters","一番くじ MONSTERS 一百三情飛龍侍極","2024-04","2","2","0","2","A賞 B賞","https://1kuji.com/products/monsters"
"monsters_02","一番くじ MONSTERS 一百三情飛龍侍極","2024-04","2","2","0","2","A賞 B賞","https://1kuji.com/products/monsters_02"
"nct2","一番くじ NCT DREAM　THE DREAM SHOW","2024-04","12","11","0","11","          ","https://1kuji.com/products/nct2"
"kirby22","Ichiban Kirby Pupupu na Ichibankuji day ☆","2024-04","8","8","0","8","       ","https://1kuji.com/products/kirby22"
"uruseiyatsura2","一番くじ うる星やつら Part2","2024-04","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/uruseiyatsura2"
"disney_ps10","Ichibankuji <Disney Princess> Heart to Face","2024-04","8","8","0","8","       ","https://1kuji.com/products/disney_ps10"
"onep85","Ichibankuji ONE PIECE New Dawn","2024-04","9","9","0","9","        ","https://1kuji.com/products/onep85"
"usamaru9","一番くじ うさまる ～10th anniversary party～","2024-03","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/usamaru9"
"godzilla4-2","一番くじ ゴジラ-1.0","2024-03","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/godzilla4-2"
"onep_o4","ONE PIECE Ichibankuji Absolute Justice","2024-03","9","9","0","9","        ","https://1kuji.com/products/onep_o4"
"onep80_2","Ichibankuji ONE PIECE BEYOND THE LEVEL","2024-03","9","9","0","9","        ","https://1kuji.com/products/onep80_2"
"txt_shinchan","一番くじ TOMORROW X TOGETHER ｜ クレヨンしんちゃん","2024-02","9","8","0","8","       ","https://1kuji.com/products/txt_shinchan"
"haikyu27","이치 반 쿠지 극장판 하이큐 !! 쓰레기 버림장의 결전","2024-02","9","9","0","9","        ","https://1kuji.com/products/haikyu27"
"kimetsu21","Ichibankuji DEMON SLAYER: KIMETSU NO YAIBA: Kimetsu no Yaiba ~Memorable Butterfly Mansion~","2024-02","8","8","0","8","       ","https://1kuji.com/products/kimetsu21"
"enhypen","一番くじ ENHYPEN","2024-02","12","11","0","11","          ","https://1kuji.com/products/enhypen"
"stars8","Ichibankuji Ensemble Stars!〜Selection Memorial","2024-02","9","9","0","9","        ","https://1kuji.com/products/stars8"
"db_ex08","Ichibankuji Dragon Ball EX Fierce Battle!! Tenkaichi Budokai","2024-02","10","10","0","10","         ","https://1kuji.com/products/db_ex08"
"moomin8","Ichibankuji Moomin Relaxing Trip","2024-02","8","8","0","8","       ","https://1kuji.com/products/moomin8"
"onep84","Ichiban Ichibankuji ONE PIECE Flame","2024-02","9","9","0","9","        ","https://1kuji.com/products/onep84"
"myhero33","이치 반 쿠지 내 영웅 아카데미아 처진! 문화제!","2024-01","10","10","0","10","         ","https://1kuji.com/products/myhero33"
"onep83","이치 반 쿠지 원피스 신 사황","2024-01","10","10","0","10","      G賞   ","https://1kuji.com/products/onep83"
"kirby21","Ichibankuji Kirby Ramen","2024-01","9","9","0","9","        ","https://1kuji.com/products/kirby21"
"hololive4","一番くじ ホロライブ vol.4","2024-01","14","13","0","13","            ","https://1kuji.com/products/hololive4"
"db_sdbh5th","이치 반 쿠지 쿠지 드래곤 볼 SUPER DRAGONBALL HEROES 5th MISSION","2023-12","9","9","0","9","        ","https://1kuji.com/products/db_sdbh5th"
"tinytan5","一番くじ TinyTAN DNA","2023-12","12","11","0","11","          ","https://1kuji.com/products/tinytan5"
"seventeen3","一番くじ SEVENTEEN WINTER From PLEDIS ENTERTAINMENT","2023-12","6","5","0","5","A賞 B賞 C賞 D賞 E賞","https://1kuji.com/products/seventeen3"
"natsume43","Welcome to Ichibankuji Natsume's Book of Friends Anime 15th Anniversary Party","2023-12","8","8","0","8","      G賞 ","https://1kuji.com/products/natsume43"
"onep82","Ichibankuji ONE PIECE EX Loyalty to Raimei","2023-12","7","7","0","7","      ","https://1kuji.com/products/onep82"
"tokai_onair2_02","一番くじ 東海オンエア ～開け夢の扉！～【2024年05月発送】","2023-12","14","13","0","13","A賞       C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/tokai_onair2_02"
"tonikaku_a_yasumura","一番くじ とにかく明るい安村","2023-12","12","11","0","11","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞 J賞 K賞","https://1kuji.com/products/tonikaku_a_yasumura"
"peanuts","一番くじ PEANUTS ～Happy and Relaxing～","2023-12","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/peanuts"
"tokai_onair2","一番くじ 東海オンエア ～開け夢の扉！～","2023-11","14","13","7","6","A賞       C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/tokai_onair2"
"onep_o3","一番くじ ワンピース 百獣海賊団～飛び六胞～","2023-11","7","7","6","1","A賞 B賞 C賞 D賞 E賞 F賞 ","https://1kuji.com/products/onep_o3"
"myhero32","Ichibankuji MY HERO ACADEMIA bright future","2023-11","9","9","0","9","        ","https://1kuji.com/products/myhero32"
"pk2023","2023 Pokémon Collection くじ ～HIDAMARI LIFE～","2023-11","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/pk2023"
"moomin7","一番くじ ムーミン Look up at the stars","2023-10","8","7","6","1","A賞 B賞 C賞 D賞 E賞  G賞","https://1kuji.com/products/moomin7"
"meiji2","一番くじ meiji ～My Sweet Taste～","2023-10","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/meiji2"
